booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,d307a6378262c7c97a0e60c8f2f05e982b98a6d02bf77945a704c32d11bcac24,21E,23c260ab035e0f1fccd504068a2eaf6247a44a7c4ac4fd2588015f77ba8263f5,095190e9f66276904c4c85b63154ed11089491b93a46b77b23ea7d7e5cbaca15
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,62954bcb007746dbaec8db12bda3bb7a0172e448d87fb8570bf3aea1f29eb383,1E,6e52bb54531f992183a570ddc5d3af09a57d07c41593090ff5d8664c6fad6aae,540f6b6589e80304f12ed4f618a43d97740d8451fec75974a812a4fe19022f7c
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,718575c7b7ffd0a23741e5ffd212fb012588f8db1b7b54f2e002d3792df04927,18E,3ea87261fac26237dfa6a5ee8caf8e687db4a1da729079f67bd1ea352a3c0719,9280a037b0dfaf6e17705d4f109ae231293596b9b3a386f59b924e8399ae23f2
B1033,P1987,UK026,2025-05-06 11:37:36.951,,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,19A,efa63ae7174ae6518e79501a89e06e2576ad7c2fed1a4d6ef9631b4c585ade5f,478270e5dec4bceef0fe2c141fd6c2622894c1d01bfa40f5d502bd671be5c05b
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,151e90282739e28aa3bcac20bd2620783b9466e601c1ebd3a504fdd82c37fab6,22F,f5921f5b3d2cfd86ca9a1c250007d7e3d2474c787c60d61ce599fb16008d407f,9f955d30cf40b0ebbb0480b6d25d4dcec7071ed7765f3fce5ffe0cdf53c1d8c7
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,b20f5000d5f6615e42319e1f83503e20184791399b293b54e72a70c98fe7cccb,11D,3077da5ec7892d1993067ed82549e0e70ebd673bf7750cd1882cf0c899f4e99b,79d4f28711a6594a2cfe76bfcb4bfc478a46b5a1cb220c7465187d7ca6ee4c20
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,138ba87501deb785f7f1ca7bf1f15783178fc5b5d828e5f569b9aa7c8bf32d58,5B,d2479b9ad2dfea53afe6af29f3b3b520097beb412e21565055eecbc39f197e7e,51d1a45a449ce4bdfc785e452b252d4aa19f50d6e64255620614e84ca70061d6
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,f583dd86ac1ab40cb5a19a1a3361bb223d0bfe35d9aef8f50d06436cb0051cf2,33E,3a145d5d06bd061d76720b9014bc3177ea5af764bff07ddee8c053742ccf2c0d,cbae1e144792e34cbb7acc1d542b4dbece80eb7dbbb45a6a0c98a5f6b52cdea0
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,2269d969b6195ed518ce51572ce2699f9ff19ba2195a691dc4ecb3eb6a2b62b7,12D,1380b9bed53bc437f0410c09fe7baa7f54e5be148ceaf88ff4c5619d8d2a32f2,2412040336a1d312d5e0df69aaa633330a01a975eedc6a35b412082d799d1db9
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,11E,f85daaec7d876bb43329b75bdaf3d6188038efef75f5d1afa6fc7280e04ec8cd,7de5042fb8aff82cc4f1ddb2be1cc48b5abbadac97e776516f3dda61f3184dd2
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,bcd1bf6246a8cf6477aa216c1deb2f96288f371bb92207024ee28f4c3b5758e1,26B,5df946aa5ea92b58d17f7f40a032270510eec0c770ad404312e54d0d5847722d,c9c10b5c35efa1a0f776a0f5a970e0dc453ad1f9c307f4f39fa1e3e2aaea9fb3
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,25C,f8b7df0b74c04949ee239f3b7e2d3c741463249d2dbaea323b4c340e17b9392a,0d8f741d88d25f35b1b5d7da0c79f3e3a54e7fb79f812dd202d12ba01eb96d4e
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,8e2d9b98b2af010a6674cd2be08b1dee592135a6d9f3e13e3d44518d1e531a12,24F,665a26d46b992e6fdb351740aa567f33b27b7b2c1a9b4e6e122fb4def9b399a4,dcb2152354c4fea1716ba68a7d844d3c776ef09f7d9d26a95cafc1c44a8a3d57
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,af93a48a3274117cf67cda9e45fa3099ebf7c73e5d88b05f9e7bb825909489a8,8E,9312eb49809045fa0b0ab2aafea2094820994a8a887c1f9974f9478b60ec5e85,206f86394ed4e837690366a2c0973bda0e71d791f8f01671eeaa32a13d877e96
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16e174d0fb53c3ef2600c14f80d1b1dbc2b2ea88a664ec0d44404c7f2489a05a,16C,213e24ea06e6f3b411e3ecd5806c8a4b6b86a1575bb98964d68d69951eecdd31,f5913733cd74a2ff326654dbc2f44cf82da1b8a12d02deea2c09fd047b57df09
B1045,P1057,SJ214,2026-03-19 11:37:36.951,,fb7a1818d6acdfde779a7d20c0b6a295a36f4307df85ca80e7523565d13b1245,18C,32c50814686011d3c6878be941815b09887b00895a1383deef110e591ab40d1c,da0ecaf2bfb003ac34c63cc10991509ff77e83bf1d4ce4ec19b65d6a4dd4d580
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,ec8af10a02df2459541944cd23a5bc1c5aef5a9bc6b6bf4f0c9ebbcdbbecf36d,2C,262f75441003251273eb7c2ed844ac4e7706a050bfc50277a15bbefbeb91de5a,694139f2ea271fe31d329dec785c6f4e64ca5c7a653aa384290fb470f6e8e3e7
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,06fc223a46a46707a35e6a4569ecc688e8b1d80c03429bc85488c65cec015883,7C,a36ad971f09409f56685df3190bf7c9c6dc33a0f2fc42c1a16b7fdf788ad45c5,c468968f3b7b74f589d7c2b434fd79845df9f2b716521713d3adb26d6a67c4a2
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,8ca1865bfad8bc2ffa1453cd4ace62ef09e95e70ee7716c66e2aa2d21bdbb85c,18C,22f1c07c978ce1dab174bdbe44bef178298ba5b9208f33f2a215a9c0552306aa,442c69c41ebc8e95b42d81bb0323a5b72aa3f94b911f5aa207a2860c302c79ba
B1049,P1072,SJ153,2025-07-28 11:37:36.951,INVALID,3da7675b6ee8e5571bc322267b654bd2caf1032cbce05858694bf247b3d08f2c,3C,23d5bf269d51de51a625e1c75a0f0dfb9bc0fbeceec4e53b270afbfd1e7421ac,2c9a241a5ac9ab31d01fd62cdac263759b803a73d4f16678c392643bca55c229
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,0d72266c43031d8075a9ca2122f0e9b2a82cdf0c31185daa56e2456ab262f4e9,7D,ad95fbca2916334e2c93096632d333b1dc3c14d2843a16a24584a3966b8a3f60,d64a437468b1fc9d16b8a22afe1f0cd3f7f474e6a234dff0802b3a1dcedf6a95
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,720bfb736136a3f49714ae69486aa3516a34fca8fa71c12b03b2a9c1a7c44c4c,16A,f81d61225659ca2f4faaf7f19387fecbced97faca9935b08096ca01d2cfd6c3c,28050752d0d9af0948d1a663abdadb85a47a7ea3d577320231d0dd6b17e6783d
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,733cfebca1a82851626f27e20efa6e86b139c080846fc19239d822e20136f779,33B,3bcdb2b8fa7d2cc967354d5c63edabd5bca983f5b622b0d307fa884a72415ee4,2975f16114d626eecb8aeea76fab8ea6c5e0f7f938abfb85d364663f85a084cf
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,399a80b00d6a0a5806b1cefc245c3b406657819c79017d6d7fad319c09211dab,28B,25c92dabe31e33012618b4d561c0cb7b961f5ce080928db090d9685204394a49,9a46bc40d2c7662c4df4d7c7fd7dc953de4a53685d00bfd9eda24d4d4206e428
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,92064bfc79f8368f0179b8de82d8781456f621569b8d34f5014231604f2a3dc1,19C,b2a8bcf505a757659280600fb175343d626c2d5924cd548e874db68a5d5bc7f1,f325b218a18009a9be222ff84089baafa4094ebd91112acf8ae88340b315d025
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,08dbe884a6f408988d6490a34f80a501df250aed0c238ee8e4d692b3b693d6ed,13F,6b1830fb78766670848647042475a7246cc2d9bb13d614e5d7f8719b92365d3c,07cfa4f6401295e4b7d809281c0b461e139346e3e16bf65b52b743f6ec64e7fb
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,f380fadf17567f8778a48f283ec28410a2d8ef3c35823b648832eb4df71bf780,15B,d52b90ff5ec04dbe58b0d9b8dc33ad5d5b4ac75aec1129a18c01e0901d64e6e4,c4e1c41175281ad55165634c02b392a6d1feb161e83208b0901a3dd9fa0d88a1
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,a40b7e364b4f13f0557857ca6cc75203dc689c4fa8af12869370a73f5ee484a1,14F,6bd05b65145348d05569ea5217a778a206a900d7536ca867d51ef59369c34771,77f061e1a7b6f0bf18e7de29b606a89abec460579483f719333b7d26d76cc063
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,f93fc5b8f41c836b896bf9d7b20c5ffc6bbf0f35a4f18571c04f350279b06663,8C,997a5cf746f32fa8ba1fb4e3d1d95c62e1e827c15540c8cdac9f78b1f5d4d155,cf1ca2eed5235ecb908075e56f1987ff7b5483fece1599e733e7173f9bcd93c1
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,932065e04863f4c659e279065df5b3b5fc99642c2f6f90291f1326916fa126a7,23B,cb097823890f80d1a029f4c9e061fa71b2581066c9cb2a34559c815e37e9b203,4d55ace479fd0affcf7d069f127a895e63a7439c7802e47af893d299ef2298d3
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,05f3d6b7a3517179f6b637c01087312a8eaae27562b862a9f26de0dd2bc6f683,11A,d8a6d555ddc5d348fabd03398b10f39734c877dbe325ae265a8de5dca0bbed98,04400cb9e50e5d62a9e5ab9e8d3807eb0f9c469de97175cf365aa9d70305d9e3
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,0296cf4c371c103a8f75c9777a19d515d8f20157481c61d628027c01bba7d41b,19C,d440fc23bd04f966aabed181cb3edbfb8b823f561d04971b203493231af79a23,c4df1d4576d47062c7f8f7aad29aa1dc88704fd8ecaec30d39af47cc6dbc812f
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,cdfa84a9b9646477d516d38ebc6afa6d79aa71c4737459149388ccd94f0feca8,15D,8f067a70503c8000efc4dc94dc8b95bc39b032674d64a780fcf89f98ab5e21e5,7808eadf73c96cb1f3c95997959c0b2ffdb8c94a6407603002b40ed20c871443
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,26fe229152e764c4f33a03c4ed954509e4866712a76e13c10746934acb1f2dcd,9A,26d11962b4e4ef8e9432d6e122cf70c170da684f001378e8c6ae6e0cef4f2011,0f95760413c2c155da9153caf2bac94ef57fc8b5150c5d77921de2d9cd339a8d
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,da6bd392194e07308054e475433f6af7458f9e3a631aaeb15a6abcb45deeb01d,24E,f719700b9b5c4f43c85b5ca033e8935c434ebab521c0e51c4fbe0b8ca931a9f7,8baabf6b80bb8b48094034008ac1fa3f2761353f71b590f1a8ba26d0e9745947
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,4b8e984326743f031008e8ac68017ce6cd5d936c14192a39ff48ec4a04d632fb,7B,f7d55ad607e874ce71846ea16d8c24db2942b710a0f4df3e241c7114c96d3091,84f809ff970ab3ba2f802295599e4e4a38eb2a5245823dab0f00c39a64dd2729
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,3cb2c86e89a96e355b86d03374a383c704f3c626d6ee69c7516433df53760d87,1B,f7948e0825251eb3aa383f037031f4b53983913db4374d3f343f4d5d10fc8fd9,db4419841b8099d1d064578bc3ceffd669e90348efcb6a4b7ce35fccb1e9f307
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,c25bf736040d96af978f325b73e2f2a38cd64416781667c401b9f6c4c1730ec7,7F,e2af91c537777f8e95e8ae52bc4adab8f515b58a2ca05543e0100cc2077224b3,3ae8d3b40991e48f0b26ce6331cacbf846e0667707ffd98875eba35c71ae2f1e
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,4e6c0aada89e3523e1c4cd6c37eda829bbe01cb720cf505c725b4c686c471d84,23A,1ca66af6e77eb970106e79d26d7d5aae6694e74cb4d54feccc2d7548480c31b2,d4cd9824ff2b4ce47036679e01f6eb14c7e234a9fc88f73da208ca5905dd5773
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,a62394e2c13ca2315ea394f03b587a3489bef477d9588ca0f4881b23ce4310c0,16E,a20e2ab8b375ea3bb7b108420d7b3cf77e7a888a7a7714676daa7344ffe04f22,43f1666e5582204a7707c284e0859ec48a77ea42fc6c92ed2fe2751f60a940e7
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,460fb46958bd358e33d19bf2d0781731e88c4d4ff6bee3674d4da035a45b49a4,15D,2730302dca0dc11a2e689508cdfdf89093a2a533043bf1a18b9191a6de78a638,1240774df91b8783756d093b5b9afb4e327818ab4b069c8f3b7e2df9094ce2e1
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,3908c87404af101bb95eb2af92c157053dca2b0c71fc115cb1f977dcd0b49320,15F,66876543d0be403687fec6305d6e9eeada9dce81b107d07faaccea343192655b,def1961aa251cc34b1c0f9c6765ffc42f91a19c8e39a1da5a9aa9fabfced2688
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,829a5131166353efc36e4b1f9d3ca72ba4d24379164ba1fa6757e3bd9c2eb1c2,18F,7ce6ea947b00af16c530fe12a4fb2a91d87ef26f2a7b90507a82ebffde942037,d45375539a128ad0b80718acc87f7151821ef86a16c8c9c2015d03ca246826a8
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,2f3fda6f401627a4f10cdc01f10605473c1bb1c281f501912116a2d72e2ac3bc,16A,afa656d6a016c3c8da6fcf759833bf62ba189970bf1580d26048cfec074cd231,4771918163bf058d06722aeaffc03efc44d47f48e5a986e0581c8e591cf1e571
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,2b7e5c29878ccee9576d9888bbee5ee8f6fab614742d2f5c6c5bd8c80334f512,7A,e4fd30b858d21e323e9f552ad3e69ecec88d19b102ec27c194c8785df2a92e1f,210482a0ad766b4e637a726b43a55dd0ae89de8d8147443497fff247aec86934
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,5a8625975fd85a292cbd06dbc38d7d26e047e4ae096b728163dd891967ba07b5,2F,125f34c949348cd8254df2b9d3bf42fd279d2ad731e3b10897db091b3eda9130,b951bcc29b975a54a1f561cd378e03dd3e497c8ef9a5012da88a3292ab8ef67b
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,dab6677257e0df4d2575951ff59115be6d0dfa8437c7c2100529a7df0904e3e8,12B,6e242a955dd4c9b88ff1be19c682b36a98cd5d888aecdd3d57e73df73f577c00,e0c39e9e9ed7ddc4b559092588169e0be377f81d0b2c6b2043281c4a1ef6b141
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,d6789f8b10569f0b1c1a0792e158d54a3618262807fed1ccbfe675bedf73d16f,3A,7aefdec5ec4cb608747f0c6c058ce0355c3d839df72a90d96f9ab25b7fe4a989,8575dab3abef84a51b6157539b9952f1fe5a7cba5cda9889d33d2f276e85d7ec
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,daeb52205df087feada170916b6244d00107ecd2266e588b7fb4eed40899c9f7,1B,bd5243314d2acb31cbca7b8fdb667ae5aa8f14a6d578905536b7cdab8b35b17a,cd6c3bfe231cf3862954be227d1c6bdc294aed15f92525c65c92ce46df70807d
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,04dd042c1e1ab3ff68ba723e43e89deed7eaac83a5a09a6c50950f1ddfbd6ae6,10D,6da423a92db423588143779d3f8accdc9c2c3992ccadef1f3e4b4b736c7ead7d,6644156c0cb7ed3f833d73966c3bb0406cd9ce8bcc223f16bd47ee446da89761
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,ed6b7590cce5d1cf929d7e7a9dc8bf82120f7e9abdcc42f478669c79ef27d4b4,22D,49d44f9997d60cdebd2fefa95188f74caebe6142c020e5117741b2ba95bbdfa9,e604bae03cb9cd456e862325be5fca7a6048bdb8479631e840d3a96a71b21574
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,fc5693cfa4ecd4c4169ae4146eb4cd50c46d977fcabd6fae936f04cb2c65dd6e,29C,0477c0c0286f15b2a164ed68aa576b440e28183213a00a9bcfc2e9cfe839b6cf,fe69a23d50d7b6a625556687b0562dec8a5684f453df275ebe37c76e56a0a2f5
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,8d8e07d18c560ccc64998306492c429138dcb592202f3528e8d15e3b0ae49d3e,30A,7dba05a3465801bcdbb792c69b4bd29f599b881a2b488f6a351f6d0646e83ad1,6e6fc8e5eb8a16abbf3a27b11dd83135eff9486c198bb249c5d72f0540fb5b24
